Name,City,region,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
Novotel Riyadh Al Anoud,Riyadh,Riyadh,SAR 315,4,Only 7 rooms like this left on our site,48066,7.7," 1,203 reviews ",Superior Queen Room,No prepayment ,null,Max persons: 2,"1 bed
(1 large double)",Yes, Good ,Not requierd,null,46.6752702,24.70682996,https://www.booking.com/hotel/sa/novotel-alanoud.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=4806601_94270368_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=177&highlighted_blocks=4806601_94270368_2_42_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=4806601_94270368_2_42_0__31500&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
IntercityHotel Riyadh Malaz,Riyadh,Riyadh,SAR 315,4,null,3858408,8.4," 1,097 reviews ",Superior Twin Room,No prepayment ,null,Max persons: 2,"2 beds
(2 singles)",Yes, Very good ,Not requierd,null,46.736375,24.672087,https://www.booking.com/hotel/sa/intercityhotel-riyadh-malaz.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=385840802_121471004_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=178&highlighted_blocks=385840802_121471004_2_42_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=385840802_121471004_2_42_0__31500&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Wyndham Garden Dammam,Dammam,Eastern Region,SAR 315,4,null,4264314,8.5," 4,078 reviews ",Superior Room - Smoking,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Very good ,Not requierd,null,50.097594,26.427632,https://www.booking.com/hotel/sa/wyndham-garden-dammam.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=426431402_246025706_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=179&highlighted_blocks=426431402_246025706_2_42_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=426431402_246025706_2_42_0__31500&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Gulf Terrace Hotel,Al- Khubar,Eastern Region,SAR 323,4,Only 4 rooms like this left on our site,342706,6.9, 734 reviews ,Deluxe Double Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Review score ,Not requierd,null,50.22348404,26.30456266,https://www.booking.com/hotel/sa/gulf-terrace.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=34270607_122671973_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=180&highlighted_blocks=34270607_122671973_0_2_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=34270607_122671973_0_2_0__32300&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Accor Palace Hotel,Riyadh,Riyadh,SAR 325,4,Only 6 like this left on our site,5071688,7.9, 52 reviews ,Junior Suite,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Good ,Not requierd,null,46.65112545,24.78868906,https://www.booking.com/hotel/sa/accor-palace.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=507168801_174606968_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=181&highlighted_blocks=507168801_174606968_2_2_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=507168801_174606968_2_2_0__32500&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Grand Plaza Gulf Hotel,Riyadh,Riyadh,SAR 329,4,null,1643320,8.1," 1,974 reviews ",Standard Double Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Very good ,Not requierd,null,46.71853155,24.6847959,https://www.booking.com/hotel/sa/grand-plaza-gulf.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=164332001_248710632_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=182&highlighted_blocks=164332001_248710632_0_2_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=164332001_248710632_0_2_0__32900&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Ramada by Wyndham Continental Jeddah,Jeddah,Makkah,SAR 333,4,null,73111,8.1, 371 reviews ,1 King Bed Superior Room,No prepayment ,null,Max persons: 2,"1 bed
(1 large double)",Yes, Very good ,Not requierd,null,39.18107361,21.52954508,https://www.booking.com/hotel/sa/ramada-continental-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=7311122_119937268_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=183&highlighted_blocks=7311122_119937268_2_42_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=7311122_119937268_2_42_0__33250&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Boudl Al Tahlia,Jeddah,Makkah,SAR 335,4,Only 2 like this left on our site,298518,8.6," 1,489 reviews ",Standard Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Fabulous ,Not requierd,Breakfast included,39.18051953,21.55831919,https://www.booking.com/hotel/sa/boudl-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=29851806_190244609_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=184&highlighted_blocks=29851806_190244609_0_1_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=29851806_190244609_0_1_0__33500&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Shatha Alrabi3 Hotel,Riyadh,Riyadh,SAR 335,4,Only 7 rooms like this left on our site,2008984,8," 1,143 reviews ",King Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Very good ,Not requierd,null,46.64947757,24.7824916,https://www.booking.com/hotel/sa/shada-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=200898404_203160181_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=185&highlighted_blocks=200898404_203160181_2_2_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=200898404_203160181_2_2_0__33502&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Hilton Garden Inn Al Jubail,Al-Jubail,Eastern Region,SAR 336,4,Only 3 rooms like this left on our site,4570425,8.5, 399 reviews ,King Guest Room with Mobility Accessible,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Very good ,Not requierd,null,49.66536365,27.01048822,https://www.booking.com/hotel/sa/hilton-garden-inn-al-jubail.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=457042505_139471613_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=186&highlighted_blocks=457042505_139471613_2_0_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=457042505_139471613_2_0_0__33600&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Golden Tulip Dana Bay Resort,Half Moon Bay,Eastern Region,SAR 340,4,null,246505,6.2," 1,293 reviews ",Mahar Chalet one bedroom with Balcony,No prepayment ,null,Max persons: 2,"2 beds
(1 extra-large double, 1 sofa bed)",Yes, Review score ,Not requierd,null,50.00901461,26.08369006,https://www.booking.com/hotel/sa/alkhaleej-village.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=24650506_88786202_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=187&highlighted_blocks=24650506_88786202_0_0_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=24650506_88786202_0_0_0__34000&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Al Waha Palace Hotel,Riyadh,Riyadh,SAR 340,4,Only 1 room left like this on our site,188090,8," 1,315 reviews ",Standard Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Very good ,Not requierd,null,46.68948323,24.6809449,https://www.booking.com/hotel/sa/al-waha-palace.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=18809011_204023243_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=188&highlighted_blocks=18809011_204023243_0_42_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=18809011_204023243_0_42_0__34000&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Saif Boutique Hotel International,Al-Rass,Al-Qaseem,SAR 343,4,Only 4 rooms like this left on our site,2652073,7.5, 315 reviews ,Classic Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Good ,Not requierd,Breakfast included,43.47755678,25.86387484,https://www.booking.com/hotel/sa/swiss-international-boutique-saif-al-rass.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=265207301_195446012_2_41_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=189&highlighted_blocks=265207301_195446012_2_41_0&hpos=14&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=265207301_195446012_2_41_0__34286&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
AWJ JAZAN HOTEL SUITES,Jazan,Jazan,SAR 344,4,Only 5 like this left on our site,4509362,8.9, 313 reviews ,Standard Studio,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 double)",Yes, Fabulous ,Not requierd,Breakfast included,42.605013,16.929946,https://www.booking.com/hotel/sa/awj-jazan-suites-jzn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=450936203_195245667_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=190&highlighted_blocks=450936203_195245667_0_1_0&hpos=15&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=450936203_195245667_0_1_0__34400&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Spectrums Hotel Riyadh,Riyadh,Riyadh,SAR 349,4,null,1694023,7.7, 135 reviews ,Deluxe King Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Good ,Not requierd,Breakfast included,46.67837838,24.70052886,https://www.booking.com/hotel/sa/copthorne-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=169402306_246817357_2_33_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=191&highlighted_blocks=169402306_246817357_2_33_0&hpos=16&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=169402306_246817357_2_33_0__34900&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Ramada by Wyndham Al Hada,Al-Tayef,Makkah,SAR 349,4,null,255084,6.9," 2,121 reviews ","1 King Bed, One-Bedroom, City View",No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Review score ,Not requierd,Breakfast included,40.26752651,21.36460263,https://www.booking.com/hotel/sa/ramada-al-hada-and-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=25508411_119472500_2_41_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=192&highlighted_blocks=25508411_119472500_2_41_0&hpos=17&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=25508411_119472500_2_41_0__34900&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Adagio Aparthotel Jeddah Malik Road,Jeddah,Makkah,SAR 350,4,Only 7 like this left on our site,4570094,8.6, 403 reviews ,Studio,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 double)",Yes, Fabulous ,Not requierd,null,39.12167801,21.60299067,https://www.booking.com/hotel/sa/adagio-aparthotel-jeddah-malik-road.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=457009403_246115708_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=193&highlighted_blocks=457009403_246115708_2_2_0&hpos=18&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=457009403_246115708_2_2_0__34952&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
عنوان الحمراء,Jeddah,Makkah,SAR 350,4,null,3953568,8.4," 1,967 reviews ",Standard Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Very good ,Not requierd,Breakfast included,39.1627142,21.51716707,https://www.booking.com/hotel/sa/address-al-hamra.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=395356802_207885211_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=194&highlighted_blocks=395356802_207885211_2_1_0&hpos=19&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=395356802_207885211_2_1_0__35000&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
فندق جولدن دريم,Khamis-Mushait,Aseer,SAR 350,4,Only 3 rooms like this left on our site,5611204,8.9, 46 reviews ,Standard Double Room,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)",No, Fabulous ,Not requierd,Breakfast included,42.78673312,18.25455684,https://www.booking.com/hotel/sa/golden-dream.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=561120401_210757625_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=195&highlighted_blocks=561120401_210757625_2_1_0&hpos=20&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=561120401_210757625_2_1_0__35000&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Classical Hotel Suites,Jeddah,Makkah,SAR 350,4,null,3630718,8.9, 597 reviews ,Deluxe Suite,No prepayment ,FREE cancellation,Max persons: 3,"2 beds
(1 extra-large double, 1 sofa bed)",No, Fabulous ,Not requierd,null,39.14113603,21.59696633,https://www.booking.com/hotel/sa/klsykl-ll-jnh-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=363071801_198516437_3_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=196&highlighted_blocks=363071801_198516437_3_0_0&hpos=21&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=363071801_198516437_3_0_0__35000&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
شاليه توليب,Hafrel-Batin,Eastern Region,SAR 350,0,Only 2 like this left on our site,4460534,9.2, 47 reviews ,Apartment with Garden View,No prepayment ,FREE cancellation,Max persons: 10,"9 beds
(4 singles, 1 extra-large double, 4 sofa beds)",Yes, Superb ,Not requierd,null,46.01804314,28.43693956,https://www.booking.com/hotel/sa/shlyh-twlyb.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=446053401_135362766_10_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=197&highlighted_blocks=446053401_135362766_10_0_0&hpos=22&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=446053401_135362766_10_0_0__35000&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Al Malqa Elite Hotel,Riyadh,Riyadh,SAR 350,4,null,5726132,,null,Deluxe Twin Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes,null,Not requierd,null,46.62587696,24.80603768,https://www.booking.com/hotel/sa/fndq-nkhb-lmlq-lryd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=572613204_232080376_2_40_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=198&highlighted_blocks=572613204_232080376_2_40_0&hpos=23&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=572613204_232080376_2_40_0__35000&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Novotel Dammam Business Park,Dammam,Eastern Region,SAR 360,4,Only 7 rooms like this left on our site,316357,8," 1,280 reviews ",Standard Double Room,No prepayment ,null,Max persons: 2,"1 bed
(1 large double)",Yes, Very good ,Not requierd,null,50.13829708,26.4071976,https://www.booking.com/hotel/sa/novotel-dammam-business-park.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=31635701_94405817_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=199&highlighted_blocks=31635701_94405817_2_42_0&hpos=24&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=31635701_94405817_2_42_0__36000&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Swiss International Royal Hotel Riyadh,Riyadh,Riyadh,SAR 360,4,Only 5 rooms like this left on our site,2017872,8.1," 1,015 reviews ",Classic Room,No prepayment ,null,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Very good ,Not requierd,null,46.62544588,24.8052939,https://www.booking.com/hotel/sa/swiss-international-royal-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=201787203_133255727_2_34_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=200&highlighted_blocks=201787203_133255727_2_34_0&hpos=25&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=201787203_133255727_2_34_0__36045&srepoch=1587182897&srpvid=11841d189d740063&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Crown Rose Hotel,Riyadh,Riyadh,SAR 363,4,Only 3 rooms like this left on our site,5509145,6.5, 8 reviews ,Superior King Room,No prepayment ,null,Max persons: 2,"1 bed
(1 extra-large double)",Yes, Review score ,Not requierd,Breakfast included,46.62728298,24.80652166,https://www.booking.com/hotel/sa/crown-rose.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=550914501_201059543_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=201&highlighted_blocks=550914501_201059543_0_1_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=550914501_201059543_0_1_0__36300&srepoch=1587182906&srpvid=c8de1d1dc2a600b2&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Al Maali Hotel Jazan,Jazan,Jazan,SAR 370,4,Only 3 rooms like this left on our site,4301708,8.6, 114 reviews ,Deluxe Double Room,No prepayment ,FREE cancellation,Max persons: 2,"2 beds
(2 singles)",Yes, Fabulous ,Not requierd,null,42.55341453,16.91790074,https://www.booking.com/hotel/sa/fndq-lm-ly-jzn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=430170802_212071876_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=202&highlighted_blocks=430170802_212071876_0_2_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=430170802_212071876_0_2_0__37000&srepoch=1587182906&srpvid=c8de1d1dc2a600b2&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Citadines Al Salamah Jeddah,Jeddah,Makkah,SAR 371,4,null,1381982,8.5," 1,125 reviews ",Deluxe Studio,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Very good ,Not requierd,Breakfast included,39.14526794,21.59699721,https://www.booking.com/hotel/sa/citadines-al-salamah-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=138198201_240755735_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=203&highlighted_blocks=138198201_240755735_0_1_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=138198201_240755735_0_1_0__37050&srepoch=1587182906&srpvid=c8de1d1dc2a600b2&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
Makeen Homes by Warwick Hotel,Riyadh,Riyadh,SAR 375,4,Only 3 like this left on our site,3214525,8.1, 830 reviews ,Junior Suite,No prepayment ,FREE cancellation,Max persons: 2,"1 bed
(1 large double)",Yes, Very good ,Not requierd,null,46.55709887,24.64855381,https://www.booking.com/hotel/sa/makeen-homes-by-warwick-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=321452501_179849000_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=204&highlighted_blocks=321452501_179849000_2_42_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=321452501_179849000_2_42_0__37500&srepoch=1587182906&srpvid=c8de1d1dc2a600b2&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
